     2.786      2.333      2.000      3.333      4.643      5.000      4.667      4.667  557      1.000      0.000      7.000     10.000      5.000      5.000      0.000      0.004      0.000      0.996      4.000
     3.154      2.333      2.000      3.667      4.750      5.000      2.000      5.833  821      1.000      0.000      7.000     10.000      3.000      4.000      0.000      0.119      0.000      0.881      4.000
     3.417      3.000      2.667      4.500      4.071      3.333      4.000      4.333 1062      1.000      0.000      7.000      8.000      3.000      2.000      0.001      0.995      0.000      0.004      2.000
     3.214      3.333      2.667      3.000      3.000      2.333      2.333      3.000 1375      2.000      6.000      7.000      9.000      3.000      4.000      1.000      0.000      0.000      0.000      1.000
     1.786      1.333      1.000      2.667      4.692      6.000      2.333      5.833 1524      7.000      2.000      7.000     10.000      5.000      5.000      0.000      0.000      0.000      1.000      4.000
     4.500      5.000      3.000      5.333      4.417      5.333      2.500      5.167  356      1.000      0.000      7.000      7.000      1.000      1.000      0.000      0.980      0.020      0.000      2.000
     2.000      1.000      1.667      3.000      3.000      2.000      2.667      4.000  925      4.000      7.000      6.000      7.000      1.000      3.000      1.000      0.000      0.000      0.000      1.000
     1.500      1.667      1.000      1.500      4.786      5.000      5.000      5.000  555      1.000      7.000      6.000      9.000      5.000      5.000      0.000      0.000      0.000      1.000      4.000
     3.308      3.000      1.000      4.667      5.000      5.000      3.333      5.667  306      7.000      9.000      6.000      7.000      4.000      4.000      0.000      0.801      0.000      0.199      2.000
     4.143      4.000      1.000      5.500      2.154      3.000      1.000      2.600  788      7.000      3.000      6.000      8.000      4.000      4.000      1.000      0.000      0.000      0.000      1.000
     4.429      4.333      2.667      6.000      5.071      6.000      4.000      6.000  769      5.000      7.000      6.000      9.000      4.000      2.000      0.000      0.108      0.892      0.000      3.000
     3.214      2.667      2.667      3.500      3.357      2.667      2.667      3.833 1096      3.000      7.000      6.000      8.000      3.000      3.000      0.999      0.001      0.000      0.000      1.000
     1.714      1.000      1.667      2.333      4.286      5.333      4.333      4.000  922      5.000      8.000      6.000      7.000      4.000      4.000      0.000      0.000      0.000      1.000      4.000
     1.846      1.000      1.000      3.200      4.231      5.333      2.667      5.200  565      1.000      7.000      6.000     10.000      1.000      5.000      0.000      0.000      0.000      1.000      4.000
     1.500      1.333      1.000      1.833      4.286      6.000      1.333      5.333 1184      3.000      4.000      6.000      8.000      4.000      3.000      0.000      0.000      0.000      1.000      4.000
     4.071      3.667      2.333      5.500      4.714      4.667      2.667      6.000 1033      1.000      4.000      6.000      9.000      3.000      3.000      0.000      0.998      0.002      0.000      2.000
     2.500      3.333      1.667      2.667      3.357      3.000      2.000      4.000  798      2.000      2.000      6.000      9.000      4.000      4.000      1.000      0.000      0.000      0.000      1.000
